step,tensor_n,tensor_name,tensor_node_id,tensor_kind,tensor_id,storage_id,offset,numel,itemsize,tensor_size_bytes,device,dtype,shape,producer_count,consumer_count
0,0,cache_5_6,t0,CONTEXT,5,6,0,5,8,40,cpu,,"[1,5]",3,4
0,1,cache_12_13,t1,CONTEXT,12,13,0,5,8,40,cpu,,"[1,5]",3,3
0,2,cache_21_22,t2,CONTEXT,21,22,0,5,8,40,cuda:0,,"[1,5]",3,4
0,3,cache_25_26,t3,CONTEXT,25,26,0,525336576,2,1050673152,cpu,,"[128256,4096]",15,30
0,4,cache_30_31,t4,CONTEXT,30,31,0,525336576,2,1050673152,cuda:0,,"[128256,4096]",2,2
0,5,cache_35_31,t5,CONTEXT,35,31,0,525336576,2,1050673152,cuda:0,,"[128256,4096]",1,3
0,6,cache_41_22,t6,CONTEXT,41,22,0,5,8,40,cuda:0,,[5],1,1
0,7,cache_44_45,t7,CONTEXT,44,45,0,0,2,0,cuda:0,,[0],1,1
0,8,cache_44_47,t8,CONTEXT,44,47,0,20480,2,40960,cuda:0,,"[5,4096]",2,1
0,9,cache_49_47,t9,CONTEXT,49,47,0,20480,2,40960,cuda:0,,"[1,5,4096]",3,4
0,10,cache_53_45,t10,CONTEXT,53,45,0,525336576,2,1050673152,meta,,"[128256,4096]",2,2
0,11,cache_57_45,t11,CONTEXT,57,45,0,525336576,2,1050673152,meta,,"[128256,4096]",1,1
0,12,cache_61_45,t12,CONTEXT,61,45,0,0,8,0,cuda:0,,[0],1,2
0,13,cache_61_64,t13,CONTEXT,61,64,0,5,8,40,cuda:0,,[5],2,1
0,14,cache_67_64,t14,CONTEXT,67,64,0,5,8,40,cuda:0,,"[1,5]",2,2
0,15,param_71_72,t15,WEIGHT,71,72,0,64,4,256,cuda:0,,[64],0,15
0,16,cache_74_72,t16,CONTEXT,74,72,0,64,4,256,cuda:0,,"[1,64]",1,1
0,17,cache_77_72,t17,CONTEXT,77,72,0,64,4,256,cuda:0,,"[1,64,1]",2,2
0,18,cache_81_72,t18,CONTEXT,81,72,0,64,4,256,cuda:0,,"[1,64,1]",2,2
0,19,cache_84_64,t19,CONTEXT,84,64,0,5,8,40,cuda:0,,"[1,1,5]",1,1
0,20,cache_88_89,t20,CONTEXT,88,89,0,5,4,20,cuda:0,,"[1,1,5]",3,3
0,21,cache_96_72,t21,CONTEXT,96,72,0,64,4,256,cuda:0,,"[1,64,1]",1,1
0,22,cache_99_72,t22,CONTEXT,99,72,0,64,4,256,cuda:0,,"[1,64,1]",1,1
0,23,cache_102_89,t23,CONTEXT,102,89,0,5,4,20,cuda:0,,"[1,1,5]",1,1
0,24,cache_105_89,t24,CONTEXT,105,89,0,5,4,20,cuda:0,,"[1,1,5]",1,1
0,25,cache_107_108,t25,CONTEXT,107,108,0,320,4,1280,cuda:0,,"[1,64,5]",1,1
0,26,cache_110_108,t26,CONTEXT,110,108,0,320,4,1280,cuda:0,,"[1,64,5]",1,1
0,27,cache_113_108,t27,CONTEXT,113,108,0,320,4,1280,cuda:0,,"[1,5,64]",1,1
0,28,cache_115_116,t28,CONTEXT,115,116,0,640,4,2560,cuda:0,,"[1,5,128]",1,2
0,29,cache_118_119,t29,CONTEXT,118,119,0,640,4,2560,cuda:0,,"[1,5,128]",1,1
0,30,cache_121_122,t30,CONTEXT,121,122,0,640,4,2560,cuda:0,,"[1,5,128]",1,1
0,31,param_124_125,t31,WEIGHT,124,125,0,1,8,8,cpu,,[],0,1
0,32,cache_126_127,t32,CONTEXT,126,127,0,640,4,2560,cuda:0,,"[1,5,128]",1,1
0,33,param_129_130,t33,WEIGHT,129,130,0,1,8,8,cpu,,[],0,1
0,34,cache_131_119,t34,CONTEXT,131,119,0,640,4,2560,cuda:0,,"[1,5,128]",1,1
0,35,cache_135_122,t35,CONTEXT,135,122,0,640,2,1280,cuda:0,,"[1,5,128]",2,33
0,36,cache_140_141,t36,CONTEXT,140,141,0,640,2,1280,cuda:0,,"[1,5,128]",2,33
0,37,cache_144_145,t37,CONTEXT,144,145,0,4096,2,8192,cpu,,[4096],15,30
0,38,cache_149_150,t38,CONTEXT,149,150,0,4096,2,8192,cuda:0,,[4096],2,2
0,39,cache_154_150,t39,CONTEXT,154,150,0,4096,2,8192,cuda:0,,[4096],1,3
0,40,cache_160_161,t40,CONTEXT,160,161,0,20480,4,81920,cuda:0,,"[1,5,4096]",3,5
0,41,cache_166_167,t41,CONTEXT,166,167,0,20480,4,81920,cuda:0,,"[1,5,4096]",1,1
0,42,cache_169_170,t42,CONTEXT,169,170,0,5,4,20,cuda:0,,"[1,5,1]",1,1
0,43,param_172_173,t43,WEIGHT,172,173,0,1,8,8,cpu,,[],0,1
0,44,cache_174_175,t44,CONTEXT,174,175,0,5,4,20,cuda:0,,"[1,5,1]",1,1
0,45,cache_177_127,t45,CONTEXT,177,127,0,5,4,20,cuda:0,,"[1,5,1]",1,1
0,46,cache_179_167,t46,CONTEXT,179,167,0,20480,4,81920,cuda:0,,"[1,5,4096]",1,1
0,47,cache_183_161,t47,CONTEXT,183,161,0,20480,2,40960,cuda:0,,"[1,5,4096]",2,2
0,48,cache_186_187,t48,CONTEXT,186,187,0,20480,2,40960,cuda:0,,"[1,5,4096]",4,6
0,49,cache_191_45,t49,CONTEXT,191,45,0,4096,2,8192,meta,,[4096],2,2
0,50,cache_195_45,t50,CONTEXT,195,45,0,4096,2,8192,meta,,[4096],1,1
0,51,cache_198_199,t51,CONTEXT,198,199,0,16777216,2,33554432,cpu,,"[4096,4096]",15,30
0,52,cache_203_31,t52,CONTEXT,203,31,0,16777216,2,33554432,cuda:0,,"[4096,4096]",1,2
0,53,cache_207_31,t53,CONTEXT,207,31,0,16777216,2,33554432,cuda:0,,"[4096,4096]",1,3
0,54,cache_214_31,t54,CONTEXT,214,31,0,16777216,2,33554432,cuda:0,,"[4096,4096]",1,1
0,55,cache_218_187,t55,CONTEXT,218,187,0,20480,2,40960,cuda:0,,"[5,4096]",1,1
0,56,cache_220_150,t56,CONTEXT,220,150,0,20480,2,40960,cuda:0,,"[5,4096]",1,1
0,57,cache_222_150,t57,CONTEXT,222,150,0,20480,2,40960,cuda:0,,"[1,5,4096]",1,1
0,58,cache_226_45,t58,CONTEXT,226,45,0,16777216,2,33554432,meta,,"[4096,4096]",2,2
0,59,cache_230_45,t59,CONTEXT,230,45,0,16777216,2,33554432,meta,,"[4096,4096]",1,1
0,60,cache_233_150,t60,CONTEXT,233,150,0,20480,2,40960,cuda:0,,"[1,5,32,128]",1,1
0,61,cache_236_150,t61,CONTEXT,236,150,0,20480,2,40960,cuda:0,,"[1,32,5,128]",1,3
0,62,cache_238_239,t62,CONTEXT,238,239,0,4194304,2,8388608,cpu,,"[1024,4096]",15,30
0,63,cache_243_31,t63,CONTEXT,243,31,0,4194304,2,8388608,cuda:0,,"[1024,4096]",2,2
